Frequency,DB(MAG(V(Output))),PHDEG(V(Output)),PHDEG_corrected(V(Output))
64.42582541,4.898704254,-168.5353269,11.4646731
64.57434227,4.927501994,-168.530607,11.46939304
64.72320151,4.95651401,-168.5261459,11.47385412
64.87240389,4.985742533,-168.5219487,11.47805134
65.02195023,5.015189828,-168.5180204,11.48197961
65.17184131,5.044858194,-168.5143663,11.48563375
65.32207792,5.074749961,-168.5109916,11.48900844
65.47266086,5.104867497,-168.5079017,11.49209827
65.62359093,5.135213205,-168.5051023,11.49489771
65.77486893,5.165789523,-168.5025989,11.49740112
65.92649566,5.196598927,-168.5003973,11.49960272
66.07847193,5.22764393,-168.4985034,11.50149661
66.23079854,5.258927084,-168.4969232,11.50307679
66.3834763,5.29045098,-168.4956629,11.50433709
66.53650601,5.322218249,-168.4947288,11.50527122
66.6898885,5.354231562,-168.4941272,11.50587278
66.84362457,5.386493634,-168.4938648,11.50613518
66.99771504,5.419007221,-168.4939483,11.50605172
67.15216072,5.451775121,-168.4943845,11.50561554
67.30696244,5.484800179,-168.4951804,11.50481961
67.46212102,5.518085283,-168.4963432,11.50365678
67.61763727,5.551633369,-168.4978803,11.50211971
67.77351202,5.585447419,-168.4997991,11.50020089
67.9297461,5.619530464,-168.5021074,11.49789265
68.08634034,5.653885583,-168.5048129,11.49518714
68.24329556,5.688515907,-168.5079237,11.49207634
68.4006126,5.723424617,-168.511448,11.48855203
68.5582923,5.758614945,-168.5153942,11.48460579
68.71633549,5.794090181,-168.519771,11.48022903
68.874743,5.829853665,-168.5245871,11.47541293
69.03351568,5.865908796,-168.5298515,11.47014848
69.19265437,5.902259029,-168.5355736,11.46442645
69.35215991,5.938907877,-168.5417626,11.45823737
69.51203315,5.975858913,-168.5484284,11.45157158
69.67227494,6.013115773,-168.5555808,11.44441915
69.83288612,6.050682153,-168.5632301,11.43676993
69.99386754,6.088561813,-168.5713865,11.4286135
70.15522007,6.126758579,-168.5800608,11.41993921
70.31694456,6.165276345,-168.5892639,11.41073613
70.47904186,6.204119071,-168.599007,11.40099305
70.64151283,6.243290788,-168.6093015,11.39069849
70.80435833,6.282795599,-168.6201593,11.37984068
70.96757924,6.322637679,-168.6315924,11.36840756
71.1311764,6.362821279,-168.6436133,11.35638673
71.2951507,6.403350726,-168.6562345,11.34376551
71.45950299,6.444230425,-168.6694691,11.33053087
71.62423416,6.485464862,-168.6833306,11.31666945
71.78934507,6.527058606,-168.6978325,11.30216752
71.95483661,6.569016308,-168.712989,11.28701103
72.12070963,6.611342708,-168.7288145,11.27118551
72.28696504,6.654042631,-168.7453239,11.25467615
72.4536037,6.697120995,-168.7625323,11.2374677
72.62062651,6.74058281,-168.7804555,11.21954453
72.78803434,6.78443318,-168.7991094,11.20089058
72.95582809,6.828677308,-168.8185107,11.18148933
73.12400865,6.873320494,-168.8386762,11.16132384
73.29257689,6.918368144,-168.8596233,11.14037666
73.46153373,6.963825765,-168.8813701,11.1186299
73.63088006,7.009698973,-168.9039349,11.09606514
73.80061677,7.055993494,-168.9273366,11.07266343
73.97074476,7.102715166,-168.9515947,11.04840531
74.14126494,7.149869945,-168.9767293,11.02327075
74.3121782,7.197463903,-169.0027609,10.99723913
74.48348547,7.245503236,-169.0297107,10.97028926
74.65518763,7.293994262,-169.0576007,10.94239931
74.82728561,7.34294343,-169.0864532,10.91354682
74.99978032,7.392357319,-169.1162913,10.88370865
75.17267267,7.442242644,-169.147139,10.85286099
75.34596358,7.492606257,-169.1790207,10.82097931
75.51965396,7.543455154,-169.2119617,10.78803832
75.69374475,7.594796475,-169.245988,10.75401198
75.86823685,7.646637512,-169.2811265,10.71887345
76.0431312,7.698985709,-169.3174049,10.68259506
76.21842872,7.751848669,-169.3548517,10.64514828
76.39413034,7.805234158,-169.3934963,10.60650367
76.570237,7.859150107,-169.4333691,10.5666309
76.74674963,7.913604619,-169.4745014,10.52549862
76.92366916,7.968605974,-169.5169255,10.48307453
77.10099653,8.024162633,-169.5606747,10.43932526
77.27873268,8.08028324,-169.6057836,10.39421635
77.45687856,8.136976634,-169.6522878,10.34771223
77.6354351,8.194251848,-169.7002239,10.29977615
77.81440326,8.252118118,-169.7496299,10.25037012
77.99378399,8.310584886,-169.8005451,10.1994549
78.17357823,8.369661809,-169.8530101,10.14698992
78.35378694,8.429358763,-169.9070668,10.09293322
78.53441107,8.489685849,-169.9627586,10.0372414
78.71545159,8.550653402,-170.0201304,9.979869561
78.89690944,8.612271995,-170.0792288,9.920771245
79.0787856,8.674552445,-170.1401016,9.859898355
79.26108103,8.737505824,-170.2027989,9.797201089
79.44379669,8.801143462,-170.2673721,9.732627866
79.62693356,8.865476958,-170.3338748,9.666125247
79.8104926,8.930518186,-170.4023621,9.597637854
79.99447479,8.996279304,-170.4728917,9.527108277
80.17888109,9.062772758,-170.545523,9.454476988
80.3637125,9.130011299,-170.6203178,9.379682241
80.54896999,9.198007982,-170.69734,9.302659969
80.73465455,9.266776182,-170.7766563,9.223343678
80.92076715,9.336329602,-170.8583357,9.141664334
81.10730878,9.406682279,-170.9424498,9.057550239
81.29428044,9.477848597,-171.0290731,8.970926909
81.48168311,9.549843296,-171.1182831,8.881716937
81.66951779,9.622681484,-171.2101602,8.78983985
81.85778547,9.696378644,-171.304788,8.695211964
82.04648715,9.770950649,-171.4022538,8.59774622
82.23562384,9.846413769,-171.502648,8.497352023
82.42519653,9.922784686,-171.6060649,8.393935056
82.61520623,10.0000805,-171.7126029,8.287397101
82.80565395,10.07831876,-171.8223642,8.177635831
82.9965407,10.15751744,-171.9354554,8.064544606
83.18786748,10.23769499,-172.0519878,7.948012247
83.37963532,10.31887031,-172.1720772,7.827922794
83.57184523,10.40106281,-172.2958447,7.70415526
83.76449823,10.48429238,-172.4234166,7.57658336
83.95759534,10.56857942,-172.5549248,7.445075223
84.15113759,10.65394486,-172.6905069,7.309493098
84.345126,10.74041016,-172.830307,7.169693022
84.53956159,10.82799733,-172.9744755,7.025524486
84.73444541,10.91672895,-173.1231699,6.876830063
84.92977848,11.00662816,-173.276555,6.723445025
85.12556184,11.09771869,-173.4348031,6.56519693
85.32179653,11.19002488,-173.5980948,6.401905175
85.51848358,11.28357167,-173.7666195,6.23338053
85.71562404,11.37838463,-173.9405754,6.059424638
85.91321897,11.47448995,-174.1201705,5.879829476
86.11126939,11.57191447,-174.3056232,5.694376783
86.30977637,11.67068569,-174.4971625,5.502837453
86.50874095,11.77083174,-174.6950291,5.304970878
86.70816419,11.87238144,-174.8994757,5.100524253
86.90804715,11.97536425,-175.1107682,4.88923183
87.10839089,12.07981031,-175.3291859,4.670814117
87.30919647,12.18575041,-175.555023,4.444977023
87.51046496,12.29321601,-175.7885891,4.211410949
87.71219741,12.4022392,-176.0302102,3.969789801
87.91439491,12.51285273,-176.2802301,3.719769945
88.11705852,12.62508993,-176.5390109,3.460989081
88.32018932,12.73898474,-176.806935,3.193065038
88.52378838,12.85457164,-177.0844055,2.915594485
88.72785679,12.97188565,-177.3718485,2.628151542
88.93239563,13.09096222,-177.6697137,2.330286303
89.13740597,13.21183722,-177.9784768,2.02152324
89.34288891,13.33454685,-178.2986405,1.701359502
89.54884554,13.45912755,-178.6307369,1.369263089
89.75527695,13.58561589,-178.9753291,1.024670898
89.96218423,13.71404844,-179.3330134,0.666986627
90.16956849,13.84446164,-179.7044215,0.295578537
90.37743081,13.97689165,-180.0902229,-0.090222942
90.5857723,14.11137407,-180.4911278,-0.491127768
90.79459408,14.24794379,-180.907889,-0.907889017
91.00389723,14.38663467,-181.3413058,-1.341305784
91.21368288,14.52747923,-181.7922263,-1.792226279
91.42395214,14.67050831,-182.2615511,-2.261551098
91.63470611,14.81575061,-182.7502367,-2.750236698
91.84594592,14.96323221,-183.2592991,-3.25929905
92.0576727,15.11297603,-183.7898175,-3.78981749
92.26988755,15.26500115,-184.3429387,-4.342938735
92.48259161,15.41932206,-184.9198811,-4.919881068
92.695786,15.57594785,-185.5219387,-5.521938651
92.90947185,15.73488117,-186.1504859,-6.150485949
93.12365031,15.89611716,-186.8069822,-6.806982192
93.33832249,16.05964211,-187.4929758,-7.492975837
93.55348955,16.22543206,-188.2101089,-8.210108922
93.76915261,16.39345108,-188.9601212,-8.96012121
93.98531283,16.56364943,-189.744854,-9.744853986
94.20197136,16.73596138,-190.5662533,-10.5662533
94.41912933,16.91030287,-191.4263725,-11.42637249
94.6367879,17.08656871,-192.3273736,-12.32737358
94.85494823,17.26462964,-193.2715274,-13.27152742
95.07361146,17.4443289,-194.2612119,-14.26121187
95.29277877,17.62547855,-195.2989078,-15.29890784
95.51245132,17.80785534,-196.3871922,-16.38719225
95.73263026,17.99119628,-197.5287275,-17.52872754
95.95331676,18.17519385,-198.7262467,-18.7262467
96.174512,18.35949091,-199.9825329,-19.98253295
96.39621715,18.54367541,-201.3003931,-21.30039312
96.61843338,18.72727497,-202.6826236,-22.68262361
96.84116187,18.90975156,-204.1319677,-24.13196773
97.0644038,19.09049642,-205.6510635,-25.65106347
97.28816036,19.26882553,-207.2423805,-27.24238054
97.51243273,19.44397613,-208.9081462,-28.90814618
97.73722211,19.61510446,-210.6502592,-30.65025915
97.96252967,19.7812855,-212.4701925,-32.47019249
98.18835663,19.94151518,-214.368886,-34.36888603
98.41470417,20.09471565,-216.346631,-36.34663103
98.64157349,20.23974429,-218.4029506,-38.40295056
98.8689658,20.37540692,-220.5364807,-40.53648075
99.09688231,20.50047572,-222.7448596,-42.74485963
99.32532421,20.61371177,-225.0246317,-45.0246317
99.55429273,20.71389225,-227.3711772,-47.37117725
99.78378908,20.79984143,-229.778676,-49.778676
100.0138145,20.87046451,-232.2401138,-52.24011378
100.2443701,20.92478249,-234.7473392,-54.74733922
100.4754573,20.96196625,-237.2911742,-57.29117424
100.7070771,20.98136746,-239.8615782,-59.86157823
100.9392309,20.98254405,-242.4478606,-62.44786063
101.1719199,20.96527826,-245.0389322,-65.03893219
101.4051452,20.92958573,-247.6235807,-67.62358069
101.6389082,20.87571486,-250.1907544,-70.19075437
101.8732101,20.80413645,-252.7298353,-72.72983533
102.1080521,20.71552456,-255.2308864,-75.23088637
102.3434355,20.61073019,-257.6848576,-77.6848576
102.5793615,20.49074983,-260.0837437,-80.08374369
102.8158313,20.35669113,-262.4206871,-82.42068711
103.0528463,20.20973805,-264.6900279,-84.69002786
103.2904076,20.05111736,-266.887304,-86.88730398
103.5285166,19.88206804,-269.0092101,-89.00921008
103.7671745,19.70381475,-271.0535229,-91.05352288
104.0063825,19.51754579,-273.0190031,-93.0190031
104.246142,19.32439593,-274.9052829,-94.90528291
104.4864542,19.12543371,-276.7127467,-96.71274668
104.7273203,18.92165303,-278.4424117,-98.44241168
104.9687417,18.71396822,-280.0958136,-100.0958136
105.2107197,18.5032123,-281.6749002,-101.6749002
105.4532554,18.2901375,-283.1819358,-103.1819358
105.6963503,18.07541766,-284.6194164,-104.6194164
105.9400055,17.85965194,-285.9899976,-105.9899976
106.1842225,17.64336944,-287.2964326,-107.2964326
106.4290024,17.42703428,-288.5415213,-108.5415213
106.6743466,17.21105098,-289.7280694,-109.7280694
106.9202563,16.99576985,-290.8588549,-110.8588549
107.166733,16.7814923,-291.9366023,-111.9366023
107.4137778,16.56847584,-292.9639637,-112.9639637
107.6613922,16.35693885,-293.9435037,-113.9435037
107.9095773,16.147065,-294.87769,-114.87769
108.1583346,15.93900724,-295.7688864,-115.7688864
108.4076653,15.73289154,-296.6193494,-116.6193494
108.6575708,15.52882018,-297.4312266,-117.4312266
108.9080523,15.32687474,-298.206557,-118.206557
109.1591113,15.12711874,-298.9472728,-118.9472728
109.4107491,14.92960008,-299.6552014,-119.6552014
109.6629669,14.73435304,-300.3320696,-120.3320696
109.9157661,14.54140024,-300.9795068,-120.9795068
110.1691481,14.35075418,-301.5990493,-121.5990493
110.4231142,14.16241876,-302.1921451,-122.1921451
110.6776658,13.97639047,-302.7601576,-122.7601576
110.9328042,13.79265956,-303.3043708,-123.3043708
111.1885307,13.61121093,-303.8259933,-123.8259933
111.4448467,13.43202504,-304.3261627,-124.3261627
111.7017536,13.2550786,-304.8059497,-124.8059497
111.9592528,13.08034523,-305.2663624,-125.2663624
112.2173455,12.90779598,-305.7083496,-125.7083496
112.4760332,12.73739988,-306.1328049,-126.1328049
112.7353173,12.56912426,-306.5405698,-126.5405698
112.995199,12.40293519,-306.9324373,-126.9324373
113.2556798,12.23879777,-307.3091547,-127.3091547
113.5167611,12.07667636,-307.6714264,-127.6714264
113.7784443,11.91653486,-308.019917,-128.019917
114.0407307,11.75833688,-308.3552535,-128.3552535
114.3036217,11.6020459,-308.6780278,-128.6780278
114.5671188,11.44762546,-308.9887988,-128.9887988
114.8312233,11.29503921,-309.2880946,-129.2880946
115.0959366,11.14425109,-309.5764146,-129.5764146
115.3612601,10.99522534,-309.8542308,-129.8542308
115.6271953,10.84792665,-310.12199,-130.12199
115.8937435,10.70232015,-310.3801151,-130.3801151
116.1609062,10.5583715,-310.6290066,-130.6290066
116.4286847,10.41604694,-310.8690443,-130.8690443
116.6970806,10.27531326,-311.1005879,-131.1005879
116.9660951,10.1361379,-311.3239788,-131.3239788
117.2357298,9.998488925,-311.539541,-131.539541
117.5059861,9.862335045,-311.7475821,-131.7475821
117.7768654,9.727645629,-311.9483943,-131.9483943
118.0483691,9.594390709,-312.1422555,-132.1422555
118.3204987,9.462540981,-312.3294297,-132.3294297
118.5932556,9.332067805,-312.5101683,-132.5101683
118.8666413,9.202943203,-312.6847103,-132.6847103
119.1406572,9.075139848,-312.8532836,-132.8532836
119.4153048,8.948631066,-313.0161053,-133.0161053
119.6905855,8.82339082,-313.1733821,-133.1733821
119.9665008,8.699393705,-313.3253113,-133.3253113
120.2430521,8.576614937,-313.4720812,-133.4720812
120.520241,8.45503034,-313.6138714,-133.6138714
120.7980688,8.334616336,-313.7508535,-133.7508535
121.0765371,8.215349931,-313.8831913,-133.8831913
121.3556474,8.097208707,-314.0110415,-134.0110415
121.635401,7.980170801,-314.1345539,-134.1345539
121.9157996,7.864214902,-314.2538718,-134.2538718
122.1968445,7.749320229,-314.3691323,-134.3691323
122.4785373,7.635466523,-314.4804667,-134.4804667
122.7608795,7.522634034,-314.5880007,-134.5880007
123.0438726,7.410803506,-314.6918548,-134.6918548
123.327518,7.299956163,-314.7921446,-134.7921446
123.6118173,7.190073701,-314.8889806,-134.8889806
123.896772,7.081138271,-314.9824693,-134.9824693
124.1823835,6.97313247,-315.0727125,-135.0727125
124.4686535,6.866039325,-315.1598081,-135.1598081
124.7555834,6.759842286,-315.2438502,-135.2438502
125.0431747,6.654525209,-315.324929,-135.324929
125.331429,6.55007235,-315.4031313,-135.4031313
125.6203478,6.446468351,-315.4785406,-135.4785406
125.9099326,6.343698227,-315.551237,-135.551237
126.2001849,6.241747362,-315.621298,-135.621298
126.4911064,6.140601492,-315.6887977,-135.6887977
126.7826985,6.040246698,-315.7538076,-135.7538076
127.0749628,5.940669397,-315.8163968,-135.8163968
127.3679009,5.84185633,-315.8766315,-135.8766315
127.6615142,5.743794556,-315.9345757,-135.9345757
127.9558044,5.646471441,-315.9902911,-135.9902911
128.250773,5.549874647,-316.0438371,-136.0438371
128.5464215,5.45399213,-316.0952711,-136.0952711
128.8427517,5.358812126,-316.1446484,-136.1446484
129.1397649,5.264323145,-316.1920225,-136.1920225
129.4374628,5.170513964,-316.2374448,-136.2374448
129.7358469,5.077373618,-316.2809652,-136.2809652
130.034919,4.984891394,-316.3226318,-136.3226318
130.3346804,4.893056825,-316.362491,-136.362491
130.6351329,4.801859679,-316.4005878,-136.4005878
130.936278,4.711289957,-316.4369656,-136.4369656
131.2381172,4.621337885,-316.4716665,-136.4716665
131.5406524,4.531993905,-316.504731,-136.504731
131.8438849,4.443248675,-316.5361984,-136.5361984
132.1478164,4.355093057,-316.5661069,-136.5661069
132.4524486,4.267518115,-316.5944932,-136.5944932
132.757783,4.180515108,-316.621393,-136.621393
133.0638213,4.094075486,-316.6468409,-136.6468409
133.3705651,4.008190884,-316.6708703,-136.6708703
133.678016,3.922853116,-316.6935137,-136.6935137
133.9861757,3.838054171,-316.7148025,-136.7148025
134.2950457,3.753786212,-316.7347672,-136.7347672
134.6046278,3.670041563,-316.7534373,-136.7534373
134.9149235,3.586812713,-316.7708415,-136.7708415
135.2259345,3.504092306,-316.7870077,-136.7870077
135.5376625,3.421873143,-316.8019628,-136.8019628
135.850109,3.340148169,-316.815733,-136.815733
136.1632759,3.258910478,-316.8283438,-136.8283438
136.4771646,3.178153304,-316.8398199,-136.8398199
136.791777,3.09787002,-316.8501853,-136.8501853
137.1071146,3.018054132,-316.8594632,-136.8594632
137.4231792,2.938699277,-316.8676763,-136.8676763
137.7399723,2.859799221,-316.8748467,-136.8748467
138.0574957,2.781347851,-316.8809957,-136.8809957
138.3757511,2.703339179,-316.8861441,-136.8861441
138.6947402,2.625767333,-316.8903122,-136.8903122
139.0144646,2.548626556,-316.8935196,-136.8935196
139.334926,2.471911205,-316.8957855,-136.8957855
139.6561262,2.395615744,-316.8971286,-136.8971286
139.9780668,2.319734745,-316.8975669,-136.8975669
140.3007496,2.244262884,-316.8971181,-136.8971181
140.6241762,2.16919494,-316.8957993,-136.8957993
140.9483484,2.094525788,-316.8936274,-136.8936274
141.2732679,2.020250404,-316.8906186,-136.8906186
141.5989364,1.946363854,-316.8867888,-136.8867888
